id,sentiment
0,2
1,2
2,2
3,3
4,3
5,1
6,1
7,3
8,2
9,0
10,0
11,2
12,3
13,3
14,4
15,2
16,3
17,2
18,1
19,3
20,3
21,2
22,3
23,0
24,3
25,3
26,3
27,2
28,3
29,3
30,3
31,3
32,2
33,2
34,3
35,3
36,3
37,4
38,3
39,3
40,1
41,3
42,2
43,1
44,2
45,3
46,2
47,3
48,3
49,2
50,0
51,3
52,2
53,2
54,2
55,2
56,2
57,2
58,3
59,2
60,2
61,3
62,3
63,3
64,1
65,1
66,1
67,1
68,2
69,3
70,3
71,3
72,3
73,3
74,2
75,3
76,2
77,3
78,3
79,1
80,2
81,2
82,3
83,3
84,2
85,2
86,2
87,2
88,2
89,3
90,2
91,3
92,3
93,2
94,2
95,3
96,2
97,3
98,3
99,3
100,3
101,3
102,3
103,4
104,4
105,2
106,3
107,1
108,2
109,2
110,2
111,3
112,2
113,2
114,3
115,3
116,2
117,3
118,3
119,2
120,3
121,3
122,2
123,2
124,2
125,3
126,2
127,3
128,3
129,3
130,3
131,3
132,3
133,3
134,3
135,2
136,1
137,3
138,3
139,2
140,1
141,2
142,3
143,3
144,1
145,1
146,0
147,1
148,2
149,2
150,2
151,3
152,3
153,2
154,1
155,3
156,3
157,3
158,4
159,2
160,2
161,2
162,3
163,3
164,3
165,3
166,3
167,2
168,3
169,3
170,3
171,2
172,3
173,2
174,3
175,3
176,2
177,2
178,1
179,3
180,4
181,3
182,3
183,2
184,2
185,3
186,2
187,2
188,2
189,2
190,2
191,2
192,2
193,2
194,2
195,1
196,3
197,3
198,1
199,1
200,2
201,2
202,1
203,3
204,3
205,3
206,2
207,3
208,2
209,0
210,3
211,2
212,2
213,4
214,2
215,3
216,4
217,3
218,3
219,4
220,0
221,3
222,3
223,0
224,2
225,2
226,2
227,3
228,2
229,2
230,2
231,3
232,3
233,2
234,2
235,0
236,0
237,1
238,1
239,2
240,2
241,2
242,3
243,2
244,2
245,2
246,0
247,2
248,1
249,1
250,1
251,2
252,2
253,2
254,3
255,4
256,2
257,2
258,2
259,2
260,4
261,0
262,0
263,0
264,0
265,3
266,2
267,2
268,2
269,4
270,3
271,2
272,1
273,2
274,2
275,2
276,4
277,1
278,1
279,3
280,3
281,3
282,1
283,2
284,2
285,2
286,2
287,2
288,3
289,2
290,2
291,3
292,2
293,2
294,2
295,3
296,3
297,2
298,4
299,2
300,0
301,3
302,1
303,0
304,1
305,2
306,3
307,4
308,2
309,2
310,3
311,2
312,4
313,1
314,2
315,2
316,3
317,3
318,3
319,3
320,3
321,1
322,1
323,1
324,2
325,2
326,2
327,2
328,2
329,2
330,1
331,2
332,2
333,2
334,2
335,3
336,3
337,3
338,3
339,2
340,3
341,2
342,2
343,3
344,2
345,2
346,3
347,1
348,2
349,3
350,3
351,3
352,2
353,3
354,3
355,3
356,3
357,2
358,2
359,2
360,2
361,2
362,2
363,3
364,2
365,3
366,3
367,3
368,3
369,3
370,3
371,2
372,2
373,2
374,2
375,2
376,2
377,1
378,3
379,3
380,2
381,0
382,1
383,3
384,3
385,3
386,3
387,3
388,2
389,2
390,2
391,3
392,2
393,2
394,1
395,1
396,3
397,3
398,2
399,2
400,3
401,2
402,3
403,2
404,2
405,2
406,3
407,2
408,2
409,2
410,3
411,3
412,3
413,3
414,3
415,3
416,2
417,2
418,1
419,3
420,2
421,3
422,2
423,1
424,2
425,3
426,1
427,3
428,2
429,3
430,2
431,2
432,2
433,2
434,4
435,3
436,3
437,3
438,2
439,3
440,2
441,2
442,2
443,2
444,3
445,3
446,2
447,3
448,0
449,2
450,2
451,2
452,2
453,2
454,2
455,2
456,2
457,3
458,3
459,2
460,3
461,2
462,2
463,2
464,3
465,3
466,2
467,3
468,3
469,2
470,2
471,3
472,2
473,2
474,2
475,2
476,2
477,3
478,3
479,3
480,2
481,3
482,2
483,2
484,3
485,1
486,2
487,2
488,1
489,1
490,2
491,1
492,4
493,4
494,3
495,2
496,2
497,3
498,3
499,2
500,3
501,3
502,3
503,2
504,2
505,3
506,3
507,2
508,2
509,3
510,3
511,3
512,2
513,0
514,2
515,1
516,1
517,2
518,2
519,0
520,0
521,3
522,3
523,3
524,2
525,1
526,2
527,2
528,2
529,0
530,3
531,3
532,3
533,3
534,1
535,1
536,2
537,3
538,2
539,3
540,2
541,1
542,2
543,3
544,2
545,4
