id,sentiment
0,1
1,1
2,4
3,1
4,3
5,1
6,1
7,3
8,1
9,0
10,0
11,1
12,3
13,3
14,4
15,0
16,4
17,2
18,1
19,3
20,3
21,2
22,3
23,0
24,3
25,3
26,4
27,2
28,3
29,3
30,4
31,4
32,0
33,2
34,1
35,3
36,3
37,4
38,3
39,3
40,1
41,3
42,4
43,1
44,0
45,3
46,0
47,1
48,3
49,2
50,0
51,3
52,1
53,3
54,3
55,3
56,0
57,0
58,3
59,1
60,2
61,3
62,3
63,0
64,1
65,1
66,1
67,1
68,2
69,3
70,3
71,3
72,3
73,3
74,1
75,3
76,1
77,3
78,3
79,1
80,2
81,2
82,3
83,3
84,2
85,0
86,4
87,3
88,2
89,3
90,0
91,4
92,4
93,2
94,1
95,3
96,1
97,3
98,3
99,3
100,3
101,3
102,3
103,4
104,4
105,1
106,3
107,0
108,1
109,3
110,2
111,3
112,2
113,2
114,3
115,3
116,1
117,3
118,0
119,1
120,3
121,3
122,3
123,3
124,1
125,3
126,0
127,3
128,3
129,3
130,3
131,3
132,3
133,3
134,3
135,2
136,0
137,4
138,4
139,4
140,0
141,1
142,3
143,3
144,0
145,0
146,0
147,1
148,1
149,1
150,1
151,4
152,4
153,3
154,1
155,3
156,4
157,0
158,4
159,2
160,2
161,2
162,3
163,3
164,3
165,1
166,1
167,0
168,3
169,3
170,3
171,0
172,1
173,1
174,2
175,2
176,3
177,3
178,1
179,4
180,4
181,3
182,3
183,1
184,4
185,4
186,2
187,2
188,2
189,2
190,2
191,0
192,2
193,2
194,2
195,1
196,3
197,3
198,1
199,1
200,3
201,2
202,1
203,4
204,3
205,4
206,0
207,4
208,2
209,0
210,3
211,2
212,1
213,4
214,0
215,3
216,4
217,3
218,3
219,4
220,0
221,3
222,3
223,0
224,2
225,2
226,2
227,3
228,0
229,2
230,0
231,4
232,3
233,1
234,1
235,0
236,0
237,1
238,1
239,1
240,1
241,0
242,1
243,1
244,1
245,2
246,0
247,2
248,1
249,4
250,1
251,2
252,2
253,2
254,4
255,4
256,2
257,1
258,2
259,2
260,4
261,0
262,0
263,0
264,0
265,4
266,3
267,3
268,3
269,4
270,3
271,2
272,1
273,2
274,1
275,1
276,4
277,1
278,1
279,3
280,3
281,3
282,1
283,2
284,2
285,2
286,2
287,2
288,1
289,2
290,0
291,4
292,1
293,0
294,1
295,3
296,3
297,0
298,4
299,3
300,0
301,3
302,1
303,0
304,1
305,1
306,1
307,4
308,4
309,4
310,3
311,1
312,4
313,1
314,2
315,2
316,3
317,3
318,1
319,1
320,3
321,1
322,1
323,1
324,0
325,2
326,3
327,3
328,1
329,1
330,1
331,1
332,2
333,2
334,2
335,1
336,3
337,3
338,3
339,3
340,3
341,2
342,2
343,3
344,2
345,2
346,3
347,1
348,4
349,1
350,0
351,3
352,2
353,3
354,3
355,2
356,2
357,4
358,4
359,2
360,2
361,2
362,1
363,3
364,1
365,3
366,3
367,3
368,2
369,2
370,4
371,1
372,2
373,2
374,4
375,1
376,1
377,1
378,3
379,3
380,2
381,0
382,1
383,3
384,3
385,3
386,3
387,1
388,2
389,2
390,1
391,3
392,3
393,3
394,1
395,1
396,0
397,0
398,2
399,2
400,1
401,3
402,2
403,2
404,2
405,1
406,2
407,2
408,1
409,2
410,3
411,3
412,3
413,3
414,3
415,4
416,2
417,2
418,1
419,3
420,1
421,3
422,2
423,1
424,3
425,0
426,1
427,3
428,1
429,3
430,4
431,4
432,2
433,1
434,4
435,1
436,3
437,3
438,3
439,3
440,2
441,1
442,2
443,2
444,3
445,3
446,2
447,3
448,0
449,1
450,4
451,3
452,1
453,2
454,4
455,1
456,1
457,3
458,3
459,3
460,3
461,0
462,1
463,1
464,1
465,3
466,4
467,3
468,3
469,1
470,3
471,3
472,2
473,2
474,2
475,2
476,2
477,4
478,2
479,2
480,3
481,3
482,2
483,2
484,3
485,4
486,2
487,1
488,1
489,1
490,2
491,1
492,4
493,4
494,3
495,0
496,2
497,3
498,3
499,2
500,3
501,3
502,1
503,2
504,2
505,3
506,3
507,0
508,2
509,3
510,3
511,3
512,1
513,0
514,3
515,1
516,1
517,2
518,2
519,0
520,0
521,3
522,3
523,3
524,2
525,0
526,2
527,2
528,2
529,0
530,3
531,3
532,3
533,4
534,1
535,1
536,0
537,3
538,2
539,0
540,4
541,1
542,2
543,3
544,2
545,4
546,3
547,0
548,3
549,2
550,2
551,1
552,2
553,2
554,2
555,2
556,3
557,4
558,3
559,2
560,2
561,2
562,3
563,0
564,3
565,3
566,3
567,1
568,3
569,3
570,1
571,1
572,3
573,4
574,1
575,0
576,3
577,1
578,0
579,0
580,4
581,2
582,2
583,2
584,3
585,3
586,0
587,1
588,0
589,4
590,1
591,1
592,3
593,3
594,0
595,0
596,3
597,3
598,0
599,0
600,2
601,0
602,4
603,3
604,1
605,2
606,0
607,3
608,1
609,4
610,0
611,0
612,0
613,0
614,2
615,0
616,1
617,3
618,3
619,4
620,1
621,1
622,3
623,3
624,2
625,2
626,2
627,2
628,2
629,0
630,0
631,4
632,1
633,4
634,1
635,3
636,1
637,3
638,1
639,0
640,3
641,1
642,1
643,4
644,2
645,3
646,3
647,4
648,0
649,4
650,2
651,0
652,3
653,3
654,2
655,2
656,2
657,2
658,2
659,4
660,3
661,0
662,1
663,3
664,3
665,3
666,4
667,0
668,3
669,2
670,3
671,2
672,1
673,1
674,4
675,0
676,0
677,0
678,3
679,3
680,2
681,2
682,2
683,1
684,3
685,3
686,3
687,4
688,4
689,1
690,1
691,1
692,3
693,1
694,0
695,0
696,2
697,2
698,2
699,2
700,2
701,3
702,3
703,3
704,3
705,3
706,1
707,4
708,1
709,4
710,2
711,1
712,1
713,1
714,1
715,1
716,3
717,2
718,2
719,3
720,3
721,3
722,1
723,3
724,3
725,4
726,3
727,3
728,1
729,4
730,4
731,4
732,2
733,4
734,1
735,4
736,1
737,2
738,2
739,3
740,2
741,1
742,2
743,4
744,3
745,4
746,3
747,1
748,1
749,4
750,2
751,2
752,1
753,2
754,2
755,2
756,2
757,3
758,3
759,1
760,0
761,3
762,3
763,1
764,3
765,2
766,3
767,3
768,1
769,3
770,3
771,3
772,3
773,3
774,3
775,3
776,2
777,2
778,2
779,2
780,3
781,3
782,3
783,1
784,1
785,2
786,4
787,3
788,2
789,1
790,1
791,3
792,4
793,4
794,4
795,1
796,0
797,1
798,1
799,3
800,2
801,2
802,1
803,3
804,0
805,1
806,3
807,2
808,2
809,1
810,1
811,1
